Year,Terminal,Station,Latitude,Longitude,NB Docks,Notes,Install Date
2015,30000,100 Main Street SE,44.984892,-93.256551,27,,
2015,30001,25th Street & 33rd Ave S,44.957341,-93.223374,15,,
2015,30002,Riverside Ave & 23rd Ave S,44.967115,-93.240149,15,,
2015,30003,Plymouth Ave N &  N Oliver Ave,44.991412,-93.306269,15,,
2015,30004,11th Street & Hennepin,44.97534,-93.27869,23,,
2015,30005,Hennepin & Central Avenue NE,44.98889,-93.25392,15,,
2015,30006,YWCA Downtown,44.972217,-93.276435,23,,
2015,30007,9th Street & 4th Ave,44.97265,-93.26872,19,,
2015,30008,Midtown Exchange,44.94859,-93.2602,19,,
2015,30009,4th Street & 13th Ave SE,44.98102,-93.23746,19,,
2015,30010,Hennepin & Laurel Ave,44.97391,-93.28305,15,,
2015,30011,North 2nd Street & 4th Ave N,44.986087,-93.272459,19,,
2015,30012,Mpls Convention Center,44.970041,-93.275861,19,,
2015,30013,Lyndale Ave S & W 29th Street,44.9494847,-93.2882273,19,,
2015,30014,22nd Ave S & Franklin Ave,44.96293,-93.241042,15,,
2015,30015,Washington & Cedar,44.97344,-93.24748,20,,
2015,30016,Walker Art Center,44.96746,-93.28848,17,,
2015,30017,Lyndale Ave S & 22nd Street,44.960744,-93.28815,19,,
2015,30018,MCAD,44.957214,-93.274981,17,,
2015,30019,Social Sciences,44.971359,-93.243754,29,,
2015,30020,YWCA Uptown,44.95131,-93.29853,19,,
2015,30021,Washington & 2nd Ave N,44.98383,-93.27099,19,,
2015,30022,26th Street & Lyndale,44.95548,-93.28775,15,,
2015,30023,Chicago & 27th Street,44.95355,-93.26259,15,,
2015,30024,Coffman Union,44.973378,-93.234762,35,,
2015,30025,Williamson Hall,44.977406,-93.234911,25,,
2015,30026,Mayo Memorial Building,44.97209,-93.23206,25,,
2015,30027,4th Street S & 19th Ave,44.97003,-93.24519,19,,
2015,30028,Washington & Marquette,44.98112,-93.26634,19,,
2015,30029,Hennepin County Government Center,44.976602,-93.266701,27,,
2015,30030,South 2nd Street & 3rd Ave S,44.9809267,-93.2634544,27,,
2015,30031,23rd Ave SE & 6th Street SE,44.977028,-93.221639,19,,
2015,30032,4th Street & 17th Ave SE,44.97913,-93.23189,15,,
2015,30033,Franklin & 11th Ave,44.96251,-93.2583,15,,
2015,30034,Oak Street Ramp,44.97202,-93.22697,23,,
2015,30035,Loring Park,44.9715,-93.284927,15,,
2015,30036,Downtown Library,44.980199,-93.269217,31,,
2015,30037,Currie Park,44.969225,-93.251136,15,,
2015,30038,E Franklin Ave & Bloomington Ave S,44.96285,-93.252269,15,,
2015,30039,10th Street & Nicollet Mall,44.973839,-93.274544,19,,
2015,30040,11th Street & Marquette,44.97265,-93.27405,15,,
2015,30041,Franklin & Portland,44.962846,-93.267526,15,,
2015,30042,IDS Center,44.975641,-93.272185,23,,
2015,30043,Lake Street & Humboldt,44.94865,-93.30077,19,,
2015,30044,26th Street & Hennepin,44.9554734,-93.297143,15,,
2015,30045,Franklin & 28th Ave,44.962701,-93.230893,19,,
2015,30046,Washington Ave S & 10th Ave S,44.97654,-93.25535,19,,
2015,30047,University & Bank Street SE,44.98717,-93.25576,19,,
2015,30048,Dupont Ave & 22nd Street,44.96146,-93.29303,15,,
2015,30049,Nicollet Ave & W 26th Street,44.95618,-93.27796,15,,
2015,30050,3rd Street S & 2nd Ave S,44.97974,-93.26599,27,,
2015,30051,7th Street & 4th Ave. S,44.97497,-93.266684,15,,
2015,30052,Nicollet Mall and Grant Street,44.96995,-93.278133,15,,
2015,30053,2nd Ave N & N 6th Street,44.980536,-93.275626,23,,
2015,30054,Midtown Greenway & 5th Ave S,44.950371,-93.269278,15,,
2015,30055,Malcolm Ave SE & 5th Street SE,44.9733714,-93.211264,23,"Moved 6/4/15 from Hennepin Ave & 4th Street  44.980159, -93.271631",
2015,30056,Target Field Station,44.9841254,-93.2790381,23,,
2015,30057,McNamara Center,44.9743,-93.22854,19,,
2015,30058,Elliot Hall,44.97685,-93.23818,15,,
